DATE,Energy_Consumption,TAVG,TMAX,TMIN,PRCP,Year_x,Real GDP (millions of chained 2017 dollars),Year_y,Total Employment (number of jobs)
2024-03-01,17658.39818,0.0,0.0,0.0,0.0,2024,0.0,0,0.0
2024-02-01,17716.48917,0.0,0.0,0.0,0.0,2024,0.0,0,0.0
2024-01-01,20044.01987,0.0,0.0,0.0,0.0,2024,0.0,0,0.0
2023-12-01,18560.06591,60.97849838258363,67.55756701291865,46.264792879056905,1.343659054117385,2023,3233151.0,2023-01-01 00:00:00,26300321.0
2023-11-01,18378.73369,58.36016785110937,71.25335851471966,49.94039680393763,1.222387702861722,2023,3233151.0,2023-01-01 00:00:00,26300321.0
2023-10-01,20282.41442,60.71492367248222,72.23050303454801,52.90280057109538,0.9499439426643688,2023,3233151.0,2023-01-01 00:00:00,26300321.0
2023-09-01,22347.58343,61.24458951402487,69.27437583411631,48.1943690321228,0.8770213936093605,2023,3233151.0,2023-01-01 00:00:00,26300321.0
2023-08-01,25018.2423,63.598527456958685,68.82119810755944,46.88684083923335,0.8782322450189131,2023,3233151.0,2023-01-01 00:00:00,26300321.0
2023-07-01,22940.58818,59.029692896556725,69.69513368600515,51.230103740015,0.0388379821269772,2023,3233151.0,2023-01-01 00:00:00,26300321.0
2023-06-01,19223.82354,59.600730919344656,70.29358224313002,48.48934181491221,0.0424024626761222,2023,3233151.0,2023-01-01 00:00:00,26300321.0
2023-05-01,18182.38622,58.51086428053727,71.28978557885506,46.573945540777366,0.9780636875310632,2023,3233151.0,2023-01-01 00:00:00,26300321.0
2023-04-01,16154.09389,62.552771793374056,71.7608366663206,49.89640955158931,-0.2911539122473258,2023,3233151.0,2023-01-01 00:00:00,26300321.0
2023-03-01,19403.18705,60.49647634841211,67.88675675729506,53.4846517141841,1.1932301202769309,2023,3233151.0,2023-01-01 00:00:00,26300321.0
2023-02-01,17343.20593,57.70119841883161,66.48785070802766,49.02092229293324,0.7174462382294358,2023,3233151.0,2023-01-01 00:00:00,26300321.0
2023-01-01,20405.59028,60.65285106231126,69.97904658789543,50.21519122485757,-0.4930171413254184,2023,3233151.0,2023-01-01 00:00:00,26300321.0
2022-12-01,19176.14139,59.14441334313305,64.87406333200164,46.03034579740427,3.13310266394159,2022,3167460.8,2022-01-01 00:00:00,25300974.0
2022-11-01,18003.13589,58.52815874069216,67.86152521396475,45.66602420673685,1.693166192740095,2022,3167460.8,2022-01-01 00:00:00,25300974.0
2022-10-01,21570.34154,56.98997981381833,69.3412645815498,50.444740517575134,2.165779221514577,2022,3167460.8,2022-01-01 00:00:00,25300974.0
2022-09-01,26005.26868,59.194503935547495,69.14711098373748,42.85061894985654,1.732023852274464,2022,3167460.8,2022-01-01 00:00:00,25300974.0
2022-08-01,27435.43426,58.90491279159279,67.17316311784784,47.60191140982717,2.270598280560057,2022,3167460.8,2022-01-01 00:00:00,25300974.0
2022-07-01,24188.1955,56.76399325809724,69.1750333453178,45.60708146767248,2.015357005217424,2022,3167460.8,2022-01-01 00:00:00,25300974.0
2022-06-01,21564.76439,61.12012990619807,67.37803003598023,45.65259547283917,2.684126455421632,2022,3167460.8,2022-01-01 00:00:00,25300974.0
2022-05-01,18943.67664,55.57754862989059,67.69557221845801,46.92999578858961,2.7153579313289646,2022,3167460.8,2022-01-01 00:00:00,25300974.0
2022-04-01,18170.50477,59.112089316550765,66.38985270550671,47.839952563275496,1.8649840246404412,2022,3167460.8,2022-01-01 00:00:00,25300974.0
2022-03-01,19752.80989,61.03511792085314,67.5646599615365,44.49658005222914,2.818711491682462,2022,3167460.8,2022-01-01 00:00:00,25300974.0
2022-02-01,16636.41958,60.26102958286885,67.36687430489232,48.18904788922876,2.191089606361712,2022,3167460.8,2022-01-01 00:00:00,25300974.0
2022-01-01,20422.44347,61.14588405296077,68.77317353647261,44.75291250791007,2.2756206588073,2022,3167460.8,2022-01-01 00:00:00,25300974.0
2021-12-01,20077.35605,55.80509037711848,70.36288649419316,46.173690049388405,0.8581937298050668,2021,3146185.3,2021-01-01 00:00:00,23934549.0
2021-11-01,18754.52085,56.4727620384805,67.19880978295456,45.686585588974765,2.5403351588935883,2021,3146185.3,2021-01-01 00:00:00,23934549.0
2021-10-01,20641.27103,61.18724237129858,69.79072279931383,47.16407300693425,2.0099376563608544,2021,3146185.3,2021-01-01 00:00:00,23934549.0
2021-09-01,23607.68684,54.95375318977168,64.21879758974012,48.06048852675162,1.7704754499186477,2021,3146185.3,2021-01-01 00:00:00,23934549.0
2021-08-01,26005.66433,59.23879341631602,64.03227803937094,45.538806288908354,1.535278003717076,2021,3146185.3,2021-01-01 00:00:00,23934549.0
2021-07-01,26068.01914,54.75903000302853,67.67140418402678,46.94780370158438,1.7368345392504465,2021,3146185.3,2021-01-01 00:00:00,23934549.0
2021-06-01,22391.08085,54.6044818777151,69.52018156107164,43.36363563108678,2.361581866004281,2021,3146185.3,2021-01-01 00:00:00,23934549.0
2021-05-01,18604.99369,61.06630139411251,62.42297774789075,45.32539285875937,1.7533159619424208,2021,3146185.3,2021-01-01 00:00:00,23934549.0
2021-04-01,15304.45053,58.1039787268894,64.19924320870567,47.28239523551606,2.396290070117994,2021,3146185.3,2021-01-01 00:00:00,23934549.0
2021-03-01,21151.14217,57.55382418540724,67.145277033457,46.706266715692216,2.4075187451780105,2021,3146185.3,2021-01-01 00:00:00,23934549.0
