DATE,TAVG,TMAX,TMIN,PRCP
0,55.028104691935326,57.52397091716671,40.29953457486228,4.0547864185680105
1,52.300314416734444,59.19356526588906,43.06721314227283,4.616104503409868
2,53.457475968211476,61.89654611545169,44.91977909874678,4.319978608254944
3,55.98178639840292,56.02086642806404,42.824907356825804,4.612633451627089
4,55.23511598029994,59.27714277291548,42.718329383233616,4.3291408674006835
5,49.54544424024718,59.24067351341838,42.5238649978881,4.8564779669994325
6,53.40017683505118,60.073958828938096,43.684827505735974,4.172951551545578
7,51.19728558340461,60.70755893233577,42.80096645077648,4.724167462492409
8,51.29356229641289,63.52068500317609,39.19894905286002,3.860879019056636
9,52.32119700387675,60.80756238885323,48.21143092609326,3.9388389688744603
10,51.78808714232176,58.52503706534488,44.0764360350279,4.840242646923996
11,54.40854701392595,62.215899885891865,44.126482953530925,3.732945366397906
12,53.02207545029399,57.982663203804144,44.026609457083374,4.638380423274067
13,51.74335003298566,60.57237419068339,44.248712867260004,4.189087829665417
14,52.38772646549085,62.84292610261945,43.76560533790573,3.5748597997694973
15,52.16734865474854,61.85462976273534,44.20871136738018,5.732302492647531
16,54.488158146315214,61.322179353309046,48.48466920219903,3.537990946001594
17,51.0896834724684,55.23692472255647,42.64171315974403,4.216569106919781
18,52.1261354033018,59.49799496538925,43.10085113975913,4.022946662852493
19,49.79180852139655,58.525249866901554,41.730600005542904,3.8458423862872673
20,46.394020368331844,62.349736542957444,41.85145174430429,4.71084695034031
21,52.80723719088072,61.38129695627619,45.82992947495776,4.1618305908633575
22,53.22887239771901,60.22221236312592,44.92123343699397,3.9210985560440843
23,50.015669959187115,61.288883296602435,44.03421545931325,4.81874437350507
24,56.03950924797522,58.400767026975934,43.0655620406526,4.375868157441852
25,48.59126865080247,60.96856902076707,43.646093069463575,3.7458887394915026
26,51.591517034602894,59.89000532494967,42.3319886397029,4.159743628484578
27,51.125632299948336,56.33358638597037,43.275343620046215,3.150382712464766
28,54.56555842871691,60.38809227598985,44.39875904913557,4.360893366833243
29,54.43871753980057,61.11431606126654,42.17747694187825,4.284689168395429
30,51.809894851393835,62.08682917028127,43.85595567838071,4.9287758820146195
31,54.25632503920435,63.55477705513002,41.973408328348725,4.536495032644876
32,51.72442850473978,64.51340784784468,42.34539578917271,3.9427696213462475
33,49.53840706355214,59.03534533583345,45.22148907180772,3.8008252363547808
34,52.804175701347695,61.75317567429936,43.9846752063232,4.60185900241546
35,53.81269793820796,62.21497920583966,46.063694579701,3.38726299329271
36,55.96058136145544,61.84051527047497,43.5472907983725,4.420001325800277
37,55.90475969756882,62.321915761007,47.11089082207787,4.416508984883566
38,52.725346365184095,61.34520750252246,45.868624058267685,5.562811018231687
39,52.89539449884933,63.97233095849004,45.405538999426,3.5912263825482955
40,51.402894069865816,60.517588903055035,39.6055965897066,4.113228185131487
